"","R","SSB","SPR","YPR","B","SY","SPR0","pSPR","Fmulti","Scenario"
"151",7.17618126674246,1040.83314501101,145.039974092444,117.166860394996,3684.12142553257,840.810983476942,671.004205498092,0.216153599193584,4.9,"B"
"152",6.56539629714129,936.680575975121,142.669312495724,117.166860394996,3349.15430092379,769.246911165332,671.004205498092,0.212620593621794,5,"B"
"153",5.95283702737785,835.58987160323,140.368343322729,117.166860394996,3017.71354676769,697.47534570503,671.004205498092,0.209191450921731,5.1,"B"
"154",5.33842535064842,737.416905195145,138.133786043403,117.166860394996,2689.62067166254,625.486584609184,671.004205498092,0.205861282107561,5.2,"B"
"155",4.72212248265877,642.032527348223,135.962701032424,117.166860394996,2364.72925757118,553.276309349971,671.004205498092,0.202625706245012,5.3,"B"
"156",4.10387653370557,549.313217699385,133.852276789474,117.166860394996,2042.8930835569,480.838398539139,671.004205498092,0.199480533344965,5.4,"B"
"157",3.48363421729568,459.142510442937,131.799862386059,117.166860394996,1723.97267405309,408.166560269098,671.004205498092,0.196421812719076,5.5,"B"
"158",2.86133576678957,371.409795357668,129.802940175173,117.166860394996,1407.83218885029,335.253712835417,671.004205498092,0.193445792308886,5.6,"B"
"159",2.23695720441365,286.015664840291,127.859247497433,117.166860394996,1094.36108735801,262.097266984384,671.004205498092,0.190549100064912,5.7,"B"
"160",1.61043706475734,202.861172354507,125.966532188002,117.166860394996,783.434791541649,188.689886332976,671.004205498092,0.187728379577735,5.8,"B"
"161",0.981700088298545,121.851195982497,124.122629135835,117.166860394996,474.928011392801,115.022677165268,671.004205498092,0.184980404174513,5.9,"B"
"162",0.350765082891626,42.9076053396962,122.325759981512,117.166860394996,168.767339400204,41.0980457575485,671.004205498092,0.182302523559757,6,"B"
"163",7.21149515839577e-05,0.00875110038244897,121.349320636522,117.166860394996,0.0347325018236541,0.00850382247215905,671.004205498092,0.180847332464099,6.1,"B"
"164",5.69482767996714e-05,0.00691063231540129,121.349278744834,117.166860394996,0.0276741714893837,0.00681188673193584,671.004205498092,0.180847270032764,6.2,"B"
"165",6.91032388694047e-05,0.00838563051574217,121.349312317905,117.166860394996,0.0338798249224283,0.00838337595329126,671.004205498092,0.180847320066834,6.3,"B"
"166",7.23599574320512e-05,0.00878083172463509,121.34932131325,117.166860394996,0.0357895131192555,0.00890204626757694,671.004205498092,0.180847333472629,6.4,"B"
"167",7.49584732023115e-05,0.00909616038777978,121.349328490582,117.166860394996,0.0373989986307614,0.00935023417643138,671.004205498092,0.180847344169033,6.5,"B"
